-0x1.aee8826983ddbc03003f3b43554bp-3,0x1.8e49f239188177c0f292a1224212p-4
0x1.3237ff0bf59868aadd6a0d7137b2p-5,0x1.368d313b6e13ec63fd81667123e9p-8
0x1.4253dad6bccac81308e689c179bfp-6,-0x1.37ad24002263d173197c334bc5f8p-8
0x1.1e88f3e9fdde8af49c07f30017f3p-6,-0x1.2bc855ed1d118309c58d7854f212p-7
0x1.6735c060b9731bfe4e08cfcf34bfp-6,-0x1.19d3e239617f24a264ff014422e4p-6
0x1.24009d0b729031ca9dba5627def5p-5,-0x1.31597ed918ac6929ea87c39df9f7p-5
0x1.2594e8856a24584bd6a81be3e81cp-4,-0x1.815a7e7769b594e742b5494aebe0p-4
0x1.62795550910bd02ff0b38242a4d3p-3,-0x1.18a77e8307e3f882006a50c94f0cp-2
0x1.f826536ded4ec85fd2daaaac83acp-2,-0x1.d26163dd4e86ecd29f2668314449p-1
0x1.a0acaabac772d6efe3bc53139b54p+0,-0x1.b54e78ce9faacf17e94a47411f84p+1
0x1.8c2930d05262815548218da74ab4p+2,-0x1.ca56166066a8c2b6cc1979ed1dbcp+3
0x1.ad6668137d107de40d8c9bbb46b2p+4,-0x1.0a3dbeba275401481f2aea19856dp+6
0x1.06eae429062904b71ad42fe04042p+7,-0x1.5458efd39e78e900635598087920p+8
0x1.684f3c540c2bafdbe9c4813077f1p+9,-0x1.db9b55a2f7a580dcf1f383739802p+10
0x1.11955d27d8c7bc38dbee3661c3dbp+12,-0x1.692000055f8b56d5734898c286d2p+13
0x1.c7ed5d60153d4764a6223998c032p+14,-0x1.28620dd37aba87f4f12ec2374642p+16
0x1.9d206ca7149046d85f623843442dp+17,-0x1.05a51e01037f9c9efa2fbc59df23p+19
0x1.93cbe6f533ce7820b26a0fa3fe16p+20,-0x1.eeae2cb29ace6d8f7f506fabab42p+21
0x1.a6c4be440a5cfa78f3eb63a51faap+23,-0x1.f2b84b56bc3bd4e9563a11aa9251p+24
0x1.d75b634fe570eb0a990bda623886p+26,-0x1.0b1bfcd687ca4ea7af8913d2e0a3p+28
0x1.1672b5b496a03f9598c3bc9a13cap+30,-0x1.2ef9410f50b58c7fb5d7cf5cf389p+31
0x1.5b3121f7ff2a0344399d81a8d626p+33,-0x1.6ac493fe236bba179c4528d919f7p+34
0x1.c74f248da2ee89ec33c5e0b15f7ep+36,-0x1.c93b55f7a5a5bbbafeba199e6448p+37
0x1.3915a05072241bd955a0d4426c16p+40,-0x1.2e8a45a295eec85a5af441375103p+41
0x1.c2698e783e653e05784ad801bc50p+43,-0x1.a362acf58f66b24d2ea08f30f931p+44
0x1.522e14e0eadbc6069a7dce21431dp+47,-0x1.2fd677aa0ee8b3eb4ac0a601a255p+48
0x1.088709a7a5bc8eb3fb0e607286c3p+51,-0x1.cb48f7f106666f37baec4f24fcdbp+51
0x1.ae64559aa85b8592fc7fc720ffd6p+54,-0x1.697e52d803e9a7979823782a38fdp+55
0x1.6b9378d96108f7f08cc624287ab4p+58,-0x1.27cfbdd748c29b9995ecbeaa9c26p+59
0x1.3e7ab9d174280184f5c8f83f5fa1p+62,-0x1.f693592158d20b3c666be057f805p+62
0x1.20e86b52deb36015a73badfe64e0p+66,-0x1.ba954cad07596c7b3bef54e253dfp+66
0x1.0f165b240f1b29a89fb36bba0155p+70,-0x1.93854d167864ca61a0e86281da6bp+70
0x1.06d03aabdd84ea2ea3df5252401cp+74,-0x1.7c726d6d9d0f9019f1d869b27452p+74
0x1.06faf8f56ec77d7b0ecd22b85970p+78,-0x1.72819fcc663120f7b743c56ce5c6p+78
0x1.0f57252655cbf92efb2dd04b8910p+82,-0x1.745251099f3de03870fa03296bf6p+82
